time (seconds),encoderLeft (meters),encoderRight (meters)
553.001,14.868233680725098,63.96369171142578
553.101,14.868232727050781,63.96369171142578
553.201,14.868230819702148,63.96369171142578
553.301,14.868229866027832,63.963687896728516
553.401,14.868228912353516,63.963687896728516
553.501,14.8682279586792,63.963687896728516
553.601,14.868227005004883,63.96368408203125
553.701,14.86822509765625,63.96368408203125
553.801,14.868224143981934,63.96368408203125
553.901,14.868223190307617,63.963680267333984
554.001,14.8682222366333,63.963680267333984
554.101,14.868220329284668,63.963680267333984
554.201,14.868219375610352,63.96367645263672
554.301,14.868218421936035,63.96367645263672
554.406,14.868217468261719,63.96367263793945
554.501,14.868216514587402,63.96367263793945
554.601,14.86821460723877,63.96367263793945
554.701,14.868213653564453,63.96366882324219
554.801,14.868212699890137,63.96366882324219
554.901,14.86821174621582,63.96366882324219
555,14.868209838867188,63.96366500854492
555.101,14.868208885192871,63.96366500854492
555.201,14.868207931518555,63.96366500854492
555.301,14.868206977844238,63.963661193847656
555.401,14.868205070495605,63.963661193847656
555.501,14.868204116821289,63.963661193847656
555.601,14.868203163146973,63.96365737915039
555.701,14.868202209472656,63.96365737915039
555.801,14.86820125579834,63.96365737915039
555.901,14.868199348449707,63.963653564453125
556.001,14.86819839477539,63.963653564453125
556.101,14.868197441101074,63.963653564453125
556.201,14.868196487426758,63.96364974975586
556.301,14.868194580078125,63.96364974975586
556.401,14.868193626403809,63.96364974975586
556.501,14.868192672729492,63.963645935058594
556.601,14.868191719055176,63.963645935058594
556.701,14.86819076538086,63.963645935058594
556.801,14.868188858032227,63.96364212036133
556.9,14.86818790435791,63.96364212036133
557.001,14.868186950683594,63.96364212036133
557.101,14.868185997009277,63.96363830566406
557.201,14.868184089660645,63.96363830566406
557.301,14.868183135986328,63.96363830566406
557.401,14.868182182312012,63.9636344909668
557.501,14.868181228637695,63.9636344909668
557.603,14.868179321289062,63.9636344909668
557.701,14.868178367614746,63.96363067626953
557.801,14.86817741394043,63.96363067626953
557.901,14.868176460266113,63.96363067626953
558.001,14.868175506591797,63.963626861572266
558.101,14.868173599243164,63.963626861572266
558.201,14.868172645568848,63.963626861572266
558.301,14.868171691894531,63.963623046875
558.401,14.868170738220215,63.963623046875
558.501,14.868168830871582,63.963623046875
558.6,14.868167877197266,63.963619232177734
558.701,14.86816692352295,63.963619232177734
558.801,14.868165969848633,63.96361541748047
558.901,14.868165016174316,63.96361541748047
559.001,14.868163108825684,63.96361541748047
559.101,14.868162155151367,63.9636116027832
559.201,14.86816120147705,63.9636116027832
559.301,14.868160247802734,63.9636116027832
559.401,14.868159294128418,63.96360778808594
559.501,14.868159294128418,63.96360778808594
559.601,14.868159294128418,63.96360778808594
559.701,14.871825218200684,63.95994186401367
559.801,14.878874778747559,63.9528923034668
559.901,14.885919570922852,63.94585037231445
560.001,14.892966270446777,63.93879699707031
560.101,14.900012969970703,63.93174362182617
560.201,14.907058715820312,63.9246940612793
560.301,14.914104461669922,63.917640686035156
560.401,14.921151161193848,63.910587310791016
560.501,14.928196907043457,63.903533935546875
560.601,14.935242652893066,63.896484375
560.701,14.976568222045898,63.93043518066406
560.801,15.051559448242188,64.00540924072266
560.901,15.126557350158691,64.08040618896484
561.001,15.201554298400879,64.15540313720703
561.101,15.27655029296875,64.23039245605469
561.201,15.351546287536621,64.30538940429688
561.301,15.426542282104492,64.38038635253906
561.401,15.501538276672363,64.45538330078125
561.501,15.535321235656738,64.4959945678711
561.601,15.569474220275879,64.53742980957031
561.701,15.644455909729004,64.61241912841797
561.8,15.719449996948242,64.68741607666016
561.901,15.79444408416748,64.76241302490234
562.001,15.869439125061035,64.83740997314453
562.101,15.94443416595459,64.91240692138672
562.201,16.01943016052246,64.9874038696289
562.301,16.094425201416016,65.0624008178711
562.401,16.128206253051758,65.1030044555664
562.501,16.162357330322266,65.14443969726562
562.601,16.23733901977539,65.21943664550781
562.701,16.312332153320312,65.29443359375
562.801,16.387327194213867,65.36943054199219
562.901,16.462322235107422,65.44442749023438
563.001,16.53731918334961,65.51942443847656
563.101,16.612314224243164,65.59442138671875
563.201,16.68731117248535,65.6694107055664
563.301,16.762306213378906,65.7444076538086
563.401,16.79608917236328,65.78501892089844
563.501,16.830257415771484,65.82645416259766
563.601,16.90523910522461,65.90144348144531
563.701,16.98023223876953,65.9764404296875
563.801,17.055227279663086,66.05143737792969
563.901,17.130226135253906,66.12641906738281
564.001,17.205209732055664,66.20140075683594
564.101,17.280193328857422,66.27637481689453
564.2,17.35518455505371,66.35133361816406
564.301,17.430177688598633,66.42631530761719
564.401,17.505163192749023,66.50129699707031
564.501,17.580150604248047,66.5762710571289
564.601,17.655134201049805,66.65125274658203
564.701,17.73011016845703,66.72623443603516
564.801,17.805078506469727,66.80120086669922
564.901,17.88005256652832,66.87617492675781
565.001,17.955028533935547,66.9511489868164
565.101,18.029996871948242,67.02611541748047
565.201,18.104969024658203,67.10108947753906
565.301,18.179943084716797,67.17606353759766
565.401,18.25491714477539,67.25102996826172
565.501,18.329891204833984,67.32600402832031
565.601,18.404865264892578,67.4009780883789
565.701,18.47983741760254,67.47594451904297
565.801,18.554811477661133,67.55091857910156
